catalogNbr,coreq_text,created_at,description,id,instructors,outcomes,prereq_confidence,prereq_courses_mentioned,prereq_has_complex_logic,prereq_text,roster,subject,title,titleShort,unitsMax,unitsMin
1110,,2025-08-17T17:19:40.430879,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recursion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming. Weekly labs provide guided practice on the computer, with staff present to help. ",SP25-CS-1110,"[""Michael Clarkson"", ""Lillian Lee""]","[""Be fluent in the use of procedural statements -assignments, conditional statements, loops, method calls- and  arrays."", ""Be able to design, code, and test small Python programs that meet requirements expressed in English. This includes a basic understanding of top-down design."", ""Understand the concepts of object-oriented programming as used in Python: classes, subclasses, inheritance, and overriding."", ""Have knowledge of basic searching and sorting algorithms. Have knowledge of the basics of vector computation.""]",,,,,SP25,CS,Introduction to Computing: A Design and Development Perspective,Intro Computing: Design & Dev,0,0
1112,,2025-08-17T17:19:40.430920,"Programming and problem solving using Python. Emphasizes the systematic development of algorithms and programs. Topics include iteration, functions, arrays, strings, recursion, object-oriented programming, algorithms, and data handling and visualization. Assignments are designed to build an appreciation for complexity, dimension, randomness, simulation, and the role of approximation in engineering and science. Weekly discussion section provides guided practice on the computer, with staff present to help.",SP25-CS-1112,"[""Daisy Fan""]","[""Be fluent in the use of procedural statements-assignments, conditional statements, loops, function calls-and arrays. Be able to design, code, and test small Python programs that meet requirements expressed in English. This includes a basic understanding of top-down design."", ""Understand the concepts of object-oriented programming as used in Python: classes, subclasses, inheritance, and overriding."", ""Have knowledge of basic sorting and searching algorithms."", ""Have a working familiarity with libraries such as NumPy and Matplotlib for scientific computation and data visualization.""]",0.6000000000000001,1,True,Prerequisite: MATH 1110 or equivalent.,SP25,CS,Introduction to Computing: An Engineering and Science Perspective,Intro Computing: Engrg & Sci,0,0
1132,,2025-08-17T17:19:40.430962,"Introduction to the MATLAB programming language. Covers the basic programming constructs of MATLAB, including assignment, conditionals, iteration, functions, arrays, vectorized computation, and scientific graphics. Designed for students who need MATLAB for research or other courses. Does not assume any previous programming experience.",SP25-CS-1132,"[""Daisy Fan""]","[""Students who take this course will understand the basic MATLAB constructs and be able to write simple programs.""]",,,,,SP25,CS,Short Course in MATLAB,Short Course in MATLAB,0,0
1133,,2025-08-17T17:19:40.430968,"Introduction to the Python programming language. Covers the basic programming constructs of Python, including assignment, conditionals, iteration, functions, object-oriented design, arrays, and vectorized computation. Designed for students who need Python for research or other courses. Does not assume any previous programming experience.",SP25-CS-1133,,"[""Students who take this course will build an understanding the basic Python constructs and be able to write simple programs.""]",,,,,SP25,CS,Short Course in Python,Short Course in Python,0,0
1340,,2025-08-17T17:19:40.430973,"Computing requires difficult choices that can have serious implications for real people. This course covers a range of ethical, societal, and policy implications of computing and information. It draws on recent developments in digital technology and their impact on society, situating these in the context of fundamental principles from computing, policy, ethics, and the social sciences. A particular emphasis will be placed on large areas in which advances in computing have consistently raised societal challenges: privacy of individual data; fairness in algorithmic decision-making; dissemination of online content; and accountability in the design of computing systems. As this is an area in which the pace of technological development raises new challenges on a regular basis, the broader goal of the course is to enable students to develop their own analyses of new situations as they emerge at the interface of computing and societal interests.",SP25-CS-1340,"[""Karen Levy"", ""Jon Kleinberg""]",,,,,,SP25,CS,Choices and Consequences in Computing,Consequences in Computing,0,0
1700,,2025-08-17T17:19:40.430978,"This course provides a non-programming introduction to the key ideas of Artificial Intelligence (AI), intended for students without significant technical background in computing.  Students will leave with an understanding of the core technical ideas that power modern AI, in such areas as machine learning and neural networks, computer vision, natural processing, game AI, and robotics, as well as our evolving appreciation of the societal implications of work in this area.",SP25-CS-1700,"[""Haym Hirsh""]",,,,,,SP25,CS,Elements of Artificial Intelligence,Elements of AI,0,0
1998,,2025-08-17T17:19:40.430984,First-year and Nontechnical Team Projects.,SP25-CS-1998,"[""Curran Muhlberger"", ""Walker White"", ""Eva Tardos""]",,,,,,SP25,CS,First-year and Nontechnical Team Projects,First-year Team Projects,0,0
2043,,2025-08-17T17:19:40.430989,"UNIX and UNIX-like systems are increasingly being used on personal computers, mobile phones, web servers, and many other systems. They represent a wonderful family of programming environments useful both to computer scientists and to people in many other fields, such as computational biology and computational linguistics, in which data is naturally represented by strings. This course takes students from shell basics and piping, to regular-expression processing tools, to shell scripting and Python. Other topics to be covered include handling concurrent and remote resources, manipulating streams and files, and managing software installations.",SP25-CS-2043,"[""Ronald DiNapoli""]",,1.0,0,True,Prerequisite: one programming course or equivalent programming experience.,SP25,CS,UNIX Tools and Scripting,UNIX Tools and Scripting,0,0
2110,,2025-08-17T17:19:40.431018,"Intermediate programming in a high-level language and introduction to software engineering. Topics include object-oriented programming (objects, classes, subtypes, encapsulation, polymorphism), program correctness (specifications, invariants, testing), algorithm analysis (asymptotic complexity, big ""O"" notation), recursion, data structures (lists, trees, stacks, queues, heaps, hash tables, graphs), iteration and searching/sorting, graph algorithms, and concurrent and event-driven programming (graphical user interfaces, synchronization). Java is the principal programming language.",SP25-CS-2110,"[""Curran Muhlberger"", ""Matthew Eichhorn""]","[""Employ recursion and object-oriented programming concepts (e.g., classes, interfaces, polymorphism, inheritance) to solve computational problems."", ""Design, implement, and verify nontrivial Java programs (roughly 1000 lines of code), starting from an English language specification, leveraging features like encapsulation and unit tests to improve maintainability."", ""Build and modify event-driven graphical user interfaces (GUIs) expressed in Java."", ""Analyze the asymptotic complexity of algorithms and programs to evaluate their running times and memory requirements."", ""Implement basic data structures taught in the course (linked lists, binary search trees, heaps, hash tables, adjacency lists) and be able to use them in programs.""]",0.6000000000000001,2,True,Prerequisite: CS 1110 or CS 1112 or equivalent course on programming in a procedural language.,SP25,CS,Object-Oriented Programming and Data Structures,Obj-Oriented Prog & Data Struc,0,0
2800,,2025-08-17T17:19:40.431033,"Covers the mathematics that underlies most of computer science. Topics include mathematical induction; logical proof; propositional and
predicate calculus; sets, functions, and relations; graphs; combinatorics and discrete mathematics; basic probability theory; andfinite-state machines. These topics are discussed in the context ofapplications to many areas of computer science.",SP25-CS-2800,"[""Eva Tardos"", ""Joe Halpern""]",,0.6000000000000001,1,True,"Prerequisite or corequisite: MATH 1110 or equivilent, one programming course or permission of instructor.",SP25,CS,Mathematical Foundations of Computing,Math Foundations of CS,0,0
