from_course_id,to_course_id,type
FA14-CS-1112-1,FA14-MATH-1110-1,COREQUISITE
FA14-CS-1112-1,FA14-MATH-1910-1,COREQUISITE
FA14-CS-1142-1,FA14-MATH-1110-1,COREQUISITE
FA14-CS-1142-1,FA14-MATH-1910-1,COREQUISITE
FA14-CS-2048-1,FA14-CS-2110-1,PREREQUISITE_OR
FA14-CS-2048-1,FA14-CS-2112-1,PREREQUISITE_OR
FA14-CS-2110-1,FA14-CS-1110-1,PREREQUISITE_OR
FA14-CS-2110-1,FA14-CS-1112-1,PREREQUISITE_OR
FA14-CS-2111-1,FA14-CS-2110-1,COREQUISITE
FA14-CS-2112-1,FA14-CS-1110-1,PREREQUISITE_OR
FA14-CS-3110-1,FA14-CS-2110-1,COREQUISITE
FA14-CS-3110-1,FA14-CS-2800-1,COREQUISITE
FA14-CS-4110-1,FA14-CS-3110-1,PREREQUISITE
FA14-CS-4154-1,FA14-CS-2110-1,UNSURE
FA14-CS-4210-2,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-CS-4210-2,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-CS-4320-1,FA14-CS-2110-1,PREREQUISITE_OR
FA14-CS-4320-1,FA14-CS-2800-1,PREREQUISITE_OR
FA14-CS-4321-1,FA14-CS-4320-1,COREQUISITE
FA14-CS-4411-1,FA14-CS-4410-1,COREQUISITE
FA14-CS-4620-1,FA14-CS-2110-1,PREREQUISITE
FA14-CS-4620-1,FA14-ENGRD-2110-2,PREREQUISITE
FA14-CS-4621-1,FA14-CS-4620-1,COREQUISITE
FA14-CS-4700-1,FA14-CS-2110-1,PREREQUISITE_OR
FA14-CS-4700-1,FA14-ENGRD-2110-2,PREREQUISITE_OR
FA14-CS-4700-1,FA14-CS-2800-1,PREREQUISITE_OR
FA14-CS-4701-1,FA14-CS-4700-1,COREQUISITE
FA14-CS-4744-3,FA14-CS-2800-1,PREREQUISITE_OR
FA14-CS-4780-1,FA14-CS-2110-1,PREREQUISITE_OR
FA14-CS-4780-1,FA14-ENGRD-2110-2,PREREQUISITE_OR
FA14-CS-4780-1,FA14-CS-2112-1,PREREQUISITE_OR
FA14-CS-4780-1,FA14-ENGRD-2112-2,PREREQUISITE_OR
FA14-CS-4780-1,FA14-CS-2800-1,PREREQUISITE_OR
FA14-CS-5110-1,FA14-CS-3110-1,PREREQUISITE
FA14-CS-5150-1,FA14-CS-2110-1,PREREQUISITE
FA14-CS-5320-1,FA14-CS-2110-1,OR_GROUP
FA14-CS-5320-1,FA14-CS-2800-1,OR_GROUP
FA14-CS-5321-1,FA14-CS-5320-1,COREQUISITE
FA14-CS-5356-1,FA14-CS-2110-1,PREREQUISITE_OR
FA14-CS-5356-1,FA14-CS-2112-1,PREREQUISITE_OR
FA14-CS-5413-1,FA14-CS-4410-1,PREREQUISITE_OR
FA14-CS-5413-1,FA14-CS-4411-1,PREREQUISITE_OR
FA14-CS-5420-2,FA14-CS-4420-2,PREREQUISITE_OR
FA14-CS-5434-1,FA14-CS-4410-1,PREREQUISITE_OR
FA14-CS-5435-1,FA14-CS-2800-1,PREREQUISITE_OR
FA14-CS-5454-1,FA14-CS-4410-1,PREREQUISITE
FA14-CS-5620-1,FA14-CS-2110-1,MANDATORY
FA14-CS-5621-1,FA14-CS-5620-1,COREQUISITE
FA14-CS-5722-3,FA14-CS-2110-1,PREREQUISITE_OR
FA14-CS-5722-3,FA14-ENGRD-2110-2,PREREQUISITE_OR
FA14-CS-5724-1,FA14-CS-2110-1,PREREQUISITE
FA14-CS-5724-1,FA14-ENGRD-2110-2,PREREQUISITE
FA14-CS-5780-1,FA14-CS-2110-1,OR_GROUP
FA14-CS-5780-1,FA14-ENGRD-2110-2,OR_GROUP
FA14-CS-5780-1,FA14-CS-2112-1,OR_GROUP
FA14-CS-5780-1,FA14-CS-2800-1,OR_GROUP
FA14-CS-5785-1,FA14-CS-2800-1,PREREQUISITE
FA14-CS-5860-1,FA14-CS-2110-1,PREREQUISITE_OR
FA14-CS-5860-1,FA14-CS-3110-1,PREREQUISITE_OR
FA14-CS-5860-1,FA14-CS-2800-1,PREREQUISITE_OR
FA14-CS-6117-1,FA14-CS-3110-1,PREREQUISITE
FA14-CS-6410-1,FA14-CS-4410-1,PREREQUISITE
FA14-CS-6644-1,FA14-CS-4620-1,PREREQUISITE_OR
FA14-CS-6644-1,FA14-CS-5620-1,PREREQUISITE_OR
FA14-CS-6742-1,FA14-CS-2110-1,UNSURE
FA14-CS-6783-1,FA14-CS-4780-1,PREREQUISITE_OR
FA14-CS-6783-1,FA14-CS-5780-1,PREREQUISITE_OR
FA14-ENGRD-2020-1,FA14-MATH-1920-1,COREQUISITE
FA14-ENGRD-2100-1,FA14-MATH-2930-1,COREQUISITE
FA14-ENGRD-2110-2,FA14-CS-1110-1,PREREQUISITE_OR
FA14-ENGRD-2112-2,FA14-CS-1110-1,PREREQUISITE_OR
FA14-ENGRD-2210-1,FA14-MATH-1920-1,PREREQUISITE
FA14-ENGRD-2300-1,FA14-CS-1110-1,PREREQUISITE_OR
FA14-ENGRD-2300-1,FA14-CS-1112-1,PREREQUISITE_OR
FA14-ENGRD-2510-2,FA14-MATH-2930-1,COREQUISITE
FA14-ENGRD-2600-2,FA14-MATH-2930-1,COREQUISITE
FA14-ENGRD-2610-2,FA14-MATH-1910-1,COREQUISITE
FA14-ENGRD-2640-2,FA14-CS-1112-1,PREREQUISITE
FA14-ENGRD-2700-1,FA14-MATH-1910-1,COREQUISITE
FA14-ENGRD-2700-1,FA14-MATH-1920-1,COREQUISITE
FA14-ENGRD-2700-1,FA14-MATH-2940-1,COREQUISITE
FA14-ENGRD-3100-2,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-HIST-4001-1,FA14-HIST-4000-1,PREREQUISITE
FA14-MATH-1105-1,FA14-MATH-1102-1,PREREQUISITE
FA14-MATH-1110-1,FA14-MATH-1101-1,PREREQUISITE
FA14-MATH-1120-1,FA14-MATH-1110-1,PREREQUISITE_OR
FA14-MATH-1920-1,FA14-MATH-1910-1,PREREQUISITE
FA14-MATH-2220-1,FA14-MATH-2210-1,PREREQUISITE
FA14-MATH-2310-1,FA14-MATH-1110-1,PREREQUISITE
FA14-MATH-2930-1,FA14-MATH-1920-1,PREREQUISITE
FA14-MATH-2940-1,FA14-MATH-1920-1,PREREQUISITE
FA14-MATH-3110-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-3110-1,FA14-MATH-2220-1,PREREQUISITE_OR
FA14-MATH-3110-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-3110-1,FA14-MATH-1920-1,PREREQUISITE_OR
FA14-MATH-3110-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-3210-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-3210-1,FA14-MATH-2220-1,PREREQUISITE_OR
FA14-MATH-3210-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-3210-1,FA14-MATH-1920-1,PREREQUISITE_OR
FA14-MATH-3210-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-3230-1,FA14-MATH-2210-1,UNSURE
FA14-MATH-3230-1,FA14-MATH-2220-1,UNSURE
FA14-MATH-3230-1,FA14-MATH-2230-1,UNSURE
FA14-MATH-3230-1,FA14-MATH-1920-1,UNSURE
FA14-MATH-3230-1,FA14-MATH-2940-1,UNSURE
FA14-MATH-3320-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-3320-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-3320-1,FA14-MATH-2310-1,PREREQUISITE_OR
FA14-MATH-3320-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-3560-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-3560-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-3560-1,FA14-MATH-2310-1,PREREQUISITE_OR
FA14-MATH-3560-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4130-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-4130-1,FA14-MATH-2220-1,PREREQUISITE_OR
FA14-MATH-4130-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-4130-1,FA14-MATH-1920-1,PREREQUISITE_OR
FA14-MATH-4130-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4180-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-4180-1,FA14-MATH-3110-1,PREREQUISITE_OR
FA14-MATH-4180-1,FA14-MATH-4130-1,PREREQUISITE_OR
FA14-MATH-4200-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-4200-1,FA14-MATH-2220-1,PREREQUISITE_OR
FA14-MATH-4200-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-4200-1,FA14-MATH-1920-1,PREREQUISITE_OR
FA14-MATH-4200-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4250-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-4250-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4310-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-4310-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-4310-1,FA14-MATH-2310-1,PREREQUISITE_OR
FA14-MATH-4310-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4330-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-4330-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-4330-1,FA14-MATH-2310-1,PREREQUISITE_OR
FA14-MATH-4330-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4410-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-4410-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-4410-1,FA14-MATH-2310-1,PREREQUISITE_OR
FA14-MATH-4410-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4530-1,FA14-MATH-2210-1,PREREQUISITE_OR
FA14-MATH-4530-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-4530-1,FA14-MATH-2310-1,PREREQUISITE_OR
FA14-MATH-4530-1,FA14-MATH-2940-1,PREREQUISITE_OR
FA14-MATH-4810-1,FA14-MATH-2220-1,PREREQUISITE_OR
FA14-MATH-4810-1,FA14-MATH-2230-1,PREREQUISITE_OR
FA14-MATH-6520-1,FA14-MATH-4310-1,PREREQUISITE
FA14-MATH-6520-1,FA14-MATH-4530-1,PREREQUISITE
FA14-MATH-6710-1,FA14-MATH-4130-1,PREREQUISITE_OR
FA14-MATH-6710-1,FA14-MATH-6210-1,PREREQUISITE_OR
FA14-MATH-6730-2,FA14-MATH-3110-1,PREREQUISITE_AND
FA14-MATH-6730-2,FA14-MATH-4710-1,PREREQUISITE_AND
FA14-MATH-7740-1,FA14-MATH-6710-1,PREREQUISITE_OR
