code,course_id,type
CHEM 1007,FA25-CHEM-1007-1,primary
CHEM 1057,FA25-CHEM-1057-1,primary
CHEM 1150,FA25-CHEM-1150-1,primary
CHEM 1560,FA25-CHEM-1560-1,primary
CHEM 1561,FA25-CHEM-1561-1,primary
CHEM 1729,FA25-CHEM-1729-1,primary
CHEM 2070,FA25-CHEM-2070-1,primary
CHEM 2071,FA25-CHEM-2071-1,primary
CHEM 2080,FA25-CHEM-2080-1,primary
CHEM 2081,FA25-CHEM-2081-1,primary
CHEM 2090,FA25-CHEM-2090-1,primary
CHEM 2091,FA25-CHEM-2091-1,primary
CHEM 2150,FA25-CHEM-2150-1,primary
CHEM 2510,FA25-CHEM-2510-1,primary
CHEM 2770,FA25-CHEM-2770-1,primary
CHEM 2780,FA25-CHEM-2780-1,primary
CHEM 3020,FA25-CHEM-3020-1,primary
CHEM 3570,FA25-CHEM-3570-1,primary
CHEM 3580,FA25-CHEM-3580-1,primary
CHEM 3600,FA25-CHEM-3600-1,primary
CHEM 3870,FA25-CHEM-3870-1,primary
CHEM 3890,FA25-CHEM-3890-1,primary
CHEM 6890,FA25-CHEM-3890-1,cross_listing
CHEM 4210,FA25-CHEM-4210-1,primary
CHEM 4330,FA25-CHEM-4330-1,primary
CHEM 4430,FA25-CHEM-4430-1,primary
CHEM 4500,FA25-CHEM-4500-1,primary
CHEM 6450,FA25-CHEM-4500-1,cross_listing
CHEM 4610,FA25-CHEM-4610-1,primary
CHEM 4770,FA25-CHEM-4770-1,primary
CHEM 5110,FA25-CHEM-5110-1,primary
CHEM 5120,FA25-CHEM-5120-1,primary
CHEM 6050,FA25-CHEM-6050-1,primary
CHEM 6291,FA25-CHEM-6291-1,primary
CHEM 6450,FA25-CHEM-6450-1,primary
CHEM 4500,FA25-CHEM-6450-1,cross_listing
CHEM 6650,FA25-CHEM-6650-1,primary
CHEM 6690,FA25-CHEM-6690-1,primary
CHEM 6860,FA25-CHEM-6860-1,primary
CHEM 6890,FA25-CHEM-6890-1,primary
CHEM 3890,FA25-CHEM-6890-1,cross_listing
CHEM 7910,FA25-CHEM-7910-1,primary
CHEM 7930,FA25-CHEM-7930-1,primary
CHEM 7960,FA25-CHEM-7960-1,primary
CS 1110,FA25-CS-1110-1,primary
CS 1112,FA25-CS-1112-1,primary
CS 1132,FA25-CS-1132-1,primary
CS 1133,FA25-CS-1133-1,primary
CS 1710,FA25-CS-1710-5,primary
COGST 1101,FA25-CS-1710-5,cross_listing
HD 1102,FA25-CS-1710-5,cross_listing
LING 1170,FA25-CS-1710-5,cross_listing
PHIL 1620,FA25-CS-1710-5,cross_listing
PSYCH 1102,FA25-CS-1710-5,cross_listing
CS 1998,FA25-CS-1998-1,primary
CS 2024,FA25-CS-2024-1,primary
CS 2110,FA25-CS-2110-1,primary
ENGRD 2110,FA25-CS-2110-1,cross_listing
CS 2112,FA25-CS-2112-1,primary
ENGRD 2112,FA25-CS-2112-1,cross_listing
CS 2800,FA25-CS-2800-1,primary
CS 2850,FA25-CS-2850-3,primary
ECON 2040,FA25-CS-2850-3,cross_listing
INFO 2040,FA25-CS-2850-3,cross_listing
SOC 2090,FA25-CS-2850-3,cross_listing
CS 3110,FA25-CS-3110-1,primary
CS 3410,FA25-CS-3410-1,primary
CS 3700,FA25-CS-3700-1,primary
CS 5700,FA25-CS-3700-1,cross_listing
CS 3780,FA25-CS-3780-1,primary
CS 5780,FA25-CS-3780-1,cross_listing
