catalogNbr,coreq_text,course_code,created_at,description,id,instructors,outcomes,prereq_confidence,prereq_courses_mentioned,prereq_has_complex_logic,prereq_text,roster,subject,title,titleShort,unitsMax,unitsMin
1007,,CHEM 1007,2025-08-17T20:38:24.908652,CHEM 1007 reviews material presented in CHEM 2070 lectures and also provides problem-solving strategies and practice during the discussion sections.,FA25-CHEM-1007-1,"[""kfr34"", ""kfr34"", ""kfr34"", ""kfr34"", ""kfr34"", ""kfr34""]",,0.0,0,False,,FA25,CHEM,Academic Support for CHEM 2070,Academic Support for CHEM 2070,1.0,1.0
1057,,CHEM 1057,2025-08-17T20:38:24.908686,"Reviews material presented in CHEM 3570 lectures and offers practice with CHEM 3570 material. Weekly reviews and problem solving sessions focus on the most important topics covered in lecture, and office hours held throughout the week by Learning Strategies Center tutors to help improve performance in CHEM 3570.",FA25-CHEM-1057-1,"[""bb677"", ""bb677"", ""bb677"", ""bb677"", ""bb677""]",,0.0,0,False,,FA25,CHEM,Academic Support for CHEM 3570,Academic Support for CHEM 3570,1.0,1.0
1150,,CHEM 1150,2025-08-17T20:38:24.908700,"Fundamentals of chemistry will be introduced and applied to real world situations. Critical aspects of 21st century life depend on an informed voting public that can assiduously address scientific issues. The role of chemistry, the good and the bad, will be an increasingly important component of everyday life. The course seeks to prepare you to be an informed voter.",FA25-CHEM-1150-1,"[""dl24""]",,0.0,0,False,,FA25,CHEM,The Language of Chemistry,The Language of Chemistry,3.0,3.0
1560,,CHEM 1560,2025-08-17T20:38:24.908709,"CHEM 1560 is the lecture component of a one-semester introduction to fundamental topics in general chemistry, both qualitative and quantitative. Co-enrollment in CHEM 1561 (lab) is required. CHEM 1560 (lecture) and CHEM 1561 (lab) together provide a complete one-semester introduction to general chemistry and serve as preparation for CHEM 1570. CHEM 1560 is not recommended for premedical or pre-veterinary students. Students planning to take CHEM 2080 should be enrolled in CHEM 2070 rather than CHEM 1560.",FA25-CHEM-1560-1,"[""dl24""]",,0.0,0,False,,FA25,CHEM,Introduction to General Chemistry,Introduction to General Chemistry,3.0,3.0
1561,,CHEM 1561,2025-08-17T20:38:24.908718,"CHEM 1561 is the laboratory component of a one-semester introduction to fundamental topics in general chemistry, both qualitative and quantitative. Co-enrollment in CHEM 1560 (lecture) is required. CHEM 1560 (lecture) and CHEM 1561 (lab) together provide a complete one-semester introduction to general chemistry and serve as preparation for CHEM 1570. CHEM 1560 and CHEM 1561 are not recommended for premedical or pre-veterinary students. Students planning to take CHEM 2080 and CHEM 2081 should be enrolled in CHEM 2070 and CHEM 2071 rather than CHEM 1560 and CHEM 1561.",FA25-CHEM-1561-1,[],,0.0,0,False,,FA25,CHEM,Introduction to General Chemistry Laboratory,Introduction to General Chemistry Laboratory,1.0,1.0
1729,,CHEM 1729,2025-08-17T20:38:24.908728,"Solve It! will teach the skill of solving cognitively challenging general chemistry questions, such as students receive in CHEM 2070. Students will explore Polya's method of problem solving while solving problems on unit conversions, combustion analysis, limiting reactants, isotopes, the Bohr model, periodic trends, 3-D Lewis structures, atomic orbitals, molecular orbitals, ideal gases, and the kinetic theory of gases. In addition, students will learn fundametal arithmetic and mathematical skills.",FA25-CHEM-1729-1,"[""sl137"", ""sl137"", ""sl137"", ""sl137"", ""sl137""]",,0.0,0,False,,FA25,CHEM,Solve It!,Solve It!,3.0,3.0
2070,,CHEM 2070,2025-08-17T20:38:24.908737,"CHEM 2070 is the lecture component of General Chemistry I. Covers fundamental chemical principles, with considerable attention given to the quantitative aspects and techniques important for further work in chemistry. Main topics include chemical transformations and equations, periodic trends of the elements, electronic structure of atoms, chemical bonding, and the collective behavior of molecules.",FA25-CHEM-2070-1,"[""hfd1"", ""hfd1""]",,0.0,0,False,,FA25,CHEM,General Chemistry I,General Chemistry I,3.0,3.0
2071,,CHEM 2071,2025-08-17T20:38:24.908747,"This is the laboratory component of CHEM 2070 General Chemistry I. Covers fundamental chemical principles, with considerable attention given to the quantitative aspects and techniques important for further work in chemistry. Main topics include chemical transformations and equations, periodic trends of the elements, electronic structure of atoms, chemical bonding, and the collective behavior of molecules.",FA25-CHEM-2071-1,"[""jel363"", ""jel363"", ""jel363"", ""jel363"", ""jel363"", ""jel363"", ""jel363"", ""jel363""]",,0.0,0,False,,FA25,CHEM,General Chemistry I Laboratory,General Chemistry I Laboratory,1.0,1.0
2080,,CHEM 2080,2025-08-17T20:38:24.908754,"CHEM 2080 is the lecture component of General Chemistry II. Covers fundamental chemical principles, including reaction kinetics, thermodynamics, and equilibrium. These principles are presented quantitatively and explored in the laboratory. Considerable attention is given to the quantitative calculations and techniques important for further work in chemistry.",FA25-CHEM-2080-1,"[""mgp74""]",,0.9,2,True,CHEM 2070 or CHEM 2090.,FA25,CHEM,General Chemistry II,General Chemistry II,3.0,3.0
2081,,CHEM 2081,2025-08-17T20:38:24.908929,"CHEM 2081 is the laboratory component of General Chemistry II. Covers fundamental chemical principles, including reaction kinetics, thermodynamics, and equilibrium. These principles are presented quantitatively and explored in the laboratory. Considerable attention is given to the quantitative calculations and techniques important for further work in chemistry.",FA25-CHEM-2081-1,"[""mgp74"", ""mgp74"", ""mgp74"", ""mgp74""]",,0.0,0,False,,FA25,CHEM,General Chemistry II Laboratory,General Chemistry II Laboratory,1.0,1.0
