course_id,course_title,prereq_text,success,courses_found,confidence,primary_matches,range_matches,letter_matches
FA14-CS-1110-1,Introduction to Computing Using Python,Assumes basic high school mathematics (no calculus) but no programming experience.,False,,0.0,0,0,0
FA14-CS-1112-1,Introduction to Computing Using MATLAB,"Corequisite: MATH 1110, MATH 1910, or equivalent. Assumes student is comfortable with mathematics (at level of one semester of calculus) but has no prior programming experience.",True,MATH 1110; MATH 1910,0.10000000000000012,2,0,0
FA14-CS-1132-1,Transition to MATLAB,Prerequisite: one course in programming.,False,,0.0,0,0,0
FA14-CS-1142-1,Introduction to MATLAB,"Corequisite: MATH 1110, MATH 1910, or equivalent.  No programming experience assumed.",True,MATH 1110; MATH 1910,0.3000000000000001,2,0,0
FA14-CS-1610-1,Computing in the Arts,Recommended prerequisite: good comfort level with computers and some of the arts.,False,,0.0,0,0,0
FA14-CS-2024-1,C++ Programming,Prerequisite: one programming course or equivalent programming experience. Students who plan to take CS 2022 and 2024 must take CS 2022 first.,True,CS 2022; CS 2022,0.2000000000000001,2,0,0
FA14-CS-2048-1,Introduction to iPhone App Development,Prerequisites: CS 2110 or CS 2112.,True,CS 2110; CS 2112,0.6000000000000001,2,0,0
FA14-CS-2110-1,Object-Oriented Programming and Data Structures,Prerequisite: CS 1110    or CS 1130 or CS 1112 (taken Fall 2012 or later) or CS 1114 (taken Fall 2012 or later) or CS 1115 or equivalent course on object-oriented programming.,True,CS 1110; CS 1130; CS 1112; CS 1114; CS 1115,0.10000000000000012,5,0,0
FA14-CS-2111-1,Programming Practicum,Corequisite: CS 2110.,True,CS 2110,0.7000000000000001,1,0,0
FA14-CS-2112-1,Object-Oriented Design and Data Structures - Honors,"Prerequisite: very good performance in CS 1110 or CS 1130 or equivalent course in Java or C++, or permission of the instructor.",True,CS 1110; CS 1130,0.2000000000000001,2,0,0
FA14-CS-2800-1,Discrete Structures,Prerequisite or corequisite: one programming course or permission of instructor.,False,,0.0,0,0,0
